City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,thompson,75,CA,1581184222,71,55.74,-97.86,5.0,8.05
213,homer,75,US,1581184244,69,59.64,-151.55,39.2,5.82
214,kesova gora,0,RU,1581184244,93,57.58,37.29,13.53,7.34
215,kilindoni,62,TZ,1581184244,76,-7.91,39.67,82.22,13.65
216,uenohara,20,JP,1581184244,51,35.62,139.12,42.01,17.22
217,cervo,100,ES,1581184244,56,43.67,-7.41,55.0,3.78
218,hokitika,45,NZ,1581184080,79,-42.72,170.97,52.97,13.67
219,imbituba,20,BR,1581184244,74,-28.24,-48.67,86.0,13.87
220,la palma,1,US,1581184244,93,33.85,-118.05,63.0,2.39
221,panalingaan,69,PH,1581184244,77,8.78,117.42,79.74,3.2
222,aniva,20,RU,1581184244,69,46.71,142.53,-9.4,4.47
223,luganville,100,VU,1581184136,95,-15.53,167.17,75.25,12.73
224,kaitangata,100,NZ,1581184244,70,-46.28,169.85,51.01,5.01
225,maceio,40,BR,1581184194,52,-9.67,-35.74,89.6,14.99
226,itarema,71,BR,1581184245,69,-2.92,-39.92,85.1,11.27
227,namatanai,100,PG,1581184111,72,-3.67,152.43,82.94,8.28
228,hailar,92,CN,1581184245,96,49.2,119.7,-0.08,7.94
229,yenangyaung,0,MM,1581184245,44,20.47,94.88,71.13,2.68
230,tuatapere,48,NZ,1581184245,94,-46.13,167.68,52.0,15.99
231,dudinka,90,RU,1581184245,76,69.41,86.18,-11.2,11.18
232,mabaruma,4,GY,1581184245,50,8.2,-59.78,86.5,6.26
233,hobyo,68,SO,1581184245,73,5.35,48.53,75.87,13.65
234,belmonte,75,BR,1581184245,74,-15.86,-38.88,86.0,5.82
235,tigil,52,RU,1581184245,84,57.8,158.67,-7.1,8.23
236,uyemskiy,90,RU,1581184245,100,64.47,40.85,21.2,6.71
237,broome,90,US,1581184148,85,42.25,-75.83,30.0,5.82
238,portland,90,US,1581184219,75,45.52,-122.68,45.0,6.93
239,trnava,0,SK,1581184245,51,48.38,17.59,37.99,6.93
240,huarmey,17,PE,1581184245,47,-10.07,-78.15,84.02,11.39
241,yichun,95,CN,1581184245,94,47.7,128.9,-2.72,3.65
242,port blair,4,IN,1581184245,71,11.67,92.75,79.68,7.65
243,san quintin,10,MX,1581184080,73,30.48,-115.95,61.36,6.62
244,canals,84,ES,1581184245,76,38.96,-0.58,60.01,5.82
245,hilton head island,1,US,1581184245,49,32.22,-80.75,59.0,9.17
246,vila franca do campo,75,PT,1581184245,82,37.72,-25.43,62.6,16.11
247,yarada,40,IN,1581184245,83,17.65,83.27,75.2,10.29
248,mount isa,16,AU,1581184246,78,-20.73,139.5,77.0,7.81
249,marawi,65,PH,1581184103,88,8.0,124.29,73.0,7.0
250,paamiut,96,GL,1581184249,67,61.99,-49.67,9.66,12.68
251,yulara,0,AU,1581184069,18,-25.24,130.99,87.8,13.87
252,adrar,24,MR,1581184250,7,20.5,-10.07,79.56,10.42
253,saldanha,42,ZA,1581184250,47,-33.01,17.94,75.2,11.41
254,grand gaube,75,MU,1581184250,83,-20.01,57.66,78.8,9.17
255,bathsheba,40,BB,1581184250,58,13.22,-59.52,86.0,24.16
256,tyup,1,KG,1581184250,35,42.73,78.36,22.77,5.41
257,murgab,0,TM,1581184250,22,37.5,61.97,68.0,18.34
258,morgan city,75,US,1581184250,60,29.7,-91.21,72.0,11.41
259,cherskiy,95,RU,1581184250,75,68.75,161.3,-32.13,3.2
260,tonj,85,SS,1581184250,17,7.27,28.68,87.19,5.14
